iter,x1,y1,x2,y2,drag,inf_pr,inf_du
0,1.00000000e+00,3.00000000e-01,3.00000000e+00,3.00000000e-01,6.58975451e-22,0.00000000e+00,2.15515859e+00
1,1.53419789e+00,3.16399337e-01,2.94887515e+00,2.89679331e-01,6.31016056e-22,0.00000000e+00,3.88238041e-01
2,2.75544777e+00,1.64537926e-01,3.13751485e+00,1.36520845e-01,1.85197318e-22,0.00000000e+00,5.77960265e-01
3,3.14638208e+00,1.30677153e-01,3.33380648e+00,1.15958399e-01,1.37259055e-22,0.00000000e+00,1.99600034e-01
4,3.42295007e+00,1.13126464e-01,3.49833810e+00,1.04031726e-01,1.19384763e-22,0.00000000e+00,1.22075339e-01
5,3.49884724e+00,1.00131255e-01,3.49987137e+00,1.00179804e-01,1.07778065e-22,0.00000000e+00,4.86273371e-02
6,3.49996227e+00,1.00006998e-01,3.49998996e+00,1.00006690e-01,1.07531259e-22,0.00000000e+00,5.23223890e-04
7,3.49997168e+00,1.00005256e-01,3.49999245e+00,1.00005021e-01,1.07512652e-22,0.00000000e+00,9.36702308e-05
